Time,Value
2010M01,144698.6
2010M02,157299.2
2010M03,185668.5
2010M04,170009.1
2010M05,172071.3
2010M06,188817.8
2010M07,172392.8
2010M08,153086.7
2010M09,187219.2
2010M10,189305.4
2010M11,193677.1
2010M12,185442.9
2011M01,176816.5
2011M02,188255.8
2011M03,218101.2
2011M04,189897.9
2011M05,205410.9
2011M06,199140.1
2011M07,185901.3
2011M08,174057.2
2011M09,205168.2
2011M10,197014.2
2011M11,203208.9
2011M12,188389.9
2012M01,181433.9
2012M02,195209.1
2012M03,213481.7
2012M04,188546.5
2012M05,198797.8
2012M06,199530.4
2012M07,192153.6
2012M08,175109.0
2012M09,192632.2
2012M10,210692.8
2012M11,202538.0
2012M12,174708.4
2013M01,187431.3
2013M02,186825.0
2013M03,201825.3
2013M04,197680.3
2013M05,194772.3
2013M06,193911.0
2013M07,198329.2
2013M08,168238.3
2013M09,199516.7
2013M10,213975.9
2013M11,201873.3
2013M12,186310.2
2014M01,192099.1
2014M02,194496.3
2014M03,209240.8
2014M04,199857.6
2014M05,197243.4
2014M06,202623.9
2014M07,203931.9
2014M08,167859.4
2014M09,214248.2
2014M10,219932.6
2014M11,205052.6
2014M12,194236.2
2015M01,188526.5
2015M02,200014.7
2015M03,224963.2
2015M04,208482.8
2015M05,202337.7
2015M06,222353.8
2015M07,214480.5
2015M08,175297.4
2015M09,221333.7
2015M10,224238.8
2015M11,221361.0
2015M12,204681.0
2016M01,190392.7
2016M02,211865.0
2016M03,224178.0
2016M04,214828.8
2016M05,211710.2
2016M06,226904.8
2016M07,202674.6
2016M08,193034.1
2016M09,226457.3
2016M10,221877.8
2016M11,232863.0
2016M12,217975.7
2017M01,216563.6
2017M02,222213.0
2017M03,256890.4
2017M04,217075.0
2017M05,241200.0
2017M06,239082.1
2017M07,222416.5
2017M08,209389.3
2017M09,238951.9
2017M10,249434.3
2017M11,255634.2
2017M12,228227.0
2018M01,237522.9
2018M02,234369.0
2018M03,259487.5
2018M04,241744.9
2018M05,247444.9
2018M06,258868.6
2018M07,246449.9
2018M08,221016.1
2018M09,244887.3
2018M10,271721.0
2018M11,265119.2
2018M12,230042.9
2019M01,245637.5
2019M02,245190.2
2019M03,266324.9
2019M04,253722.7
2019M05,263045.2
2019M06,247572.1
2019M07,253833.8
2019M08,214282.0
2019M09,255904.6
2019M10,272503.0
2019M11,258792.9
2019M12,233600.5